pid,name,pct_adjusted,ft_pct_all,total_shots_taken,gp_all,ft_pct_clutch,swg_made,swg_made_per_game
100003,Lisa Leslie,-3.49,0.696969696969697,66,415,78.26086956521739,11.273,0.027163855421686745
100008,Tamecka Dixon,7.17,0.814489571899012,50,406,88.88888888888889,7.2009,0.017736206896551723
100012,Mwadi Mabika,-8.64,0.7962347729789591,47,378,85.0,6.4049,0.016944179894179894
100016,Ruthie Bolton,-14.97,0.7568134171907757,28,238,55.55555555555556,1.8119,0.007613025210084034
100030,Jennifer Gillom,4.94,0.7587768969422424,41,231,76.92307692307693,6.4508,0.027925541125541124
100046,Wendy Palmer,-13.0,0.7055214723926381,22,326,37.5,1.9425,0.0059585889570552145
100059,Andrea Stinson,-4.07,0.7428571428571429,44,291,100.0,3.4144,0.011733333333333333
100072,Sheryl Swoopes,6.32,0.8287250384024577,62,359,93.75,9.3338,0.025999442896935933
100073,Cynthia Cooper,6.97,0.8673765730880929,37,143,92.3076923076923,5.6677,0.03963426573426573
100075,Janeth Arcain,22.0,0.8655692729766804,30,286,100.0,6.3614999999999995,0.022243006993006992
100076,Tina Thompson,-2.38,0.832381940840685,62,543,80.0,8.7665,0.016144567219152854
100092,Merlakia Jones,1.07,0.7567567567567568,25,269,83.33333333333334,3.8036,0.014139776951672862
100101,Teresa Weatherspoon,6.07,0.6653696498054474,24,285,28.57142857142857,3.8441,0.013488070175438597
100103,Vickie Johnson,2.37,0.8161764705882353,45,463,100.0,6.4471,0.013924622030237581
100105,Sophia Witherspoon,-4.24,0.7996820349761526,25,226,80.0,3.3447,0.014799557522123894
100234,Ticha Penicheiro,-10.91,0.7318352059925094,44,497,64.28571428571429,4.3292,0.008710663983903421
100236,Tangela Smith,-3.37,0.7743229689067201,50,515,66.66666666666666,4.9162,0.009546019417475729
100247,Sandy Brondello,16.27,0.8537234042553191,24,159,66.66666666666666,5.1536,0.0324125786163522
100342,Becky Hammon,6.06,0.8959891230455472,73,510,86.20689655172413,12.398299999999999,0.02431039215686274
100345,Crystal Robinson,5.27,0.8571428571428571,37,281,100.0,4.9834,0.017734519572953734
100347,Tamika Whitmore,-3.0,0.7347670250896058,32,393,92.3076923076923,4.1004,0.010433587786259541
100356,Chamique Holdsclaw,-2.17,0.7919254658385093,46,292,84.61538461538461,6.7141,0.022993493150684934
100363,Adrienne Goodson,-10.96,0.7406451612903225,25,228,60.0,3.088,0.013543859649122808
100384,Dominique Canty,-9.85,0.6976917349218168,34,391,78.26086956521739,5.793,0.014815856777493606
100396,DeLisha Milton-Jones,1.17,0.7859025032938076,42,549,66.66666666666666,6.4128,0.01168087431693989
100404,Katie Smith,3.67,0.853496115427303,55,525,88.09523809523809,11.6115,0.022117142857142856
100410,Shannon Johnson,-10.43,0.762217359591539,44,373,81.48148148148148,6.6037,0.017704289544235925
100412,Taj McWilliams-Franklin,8.38,0.7426470588235294,57,504,75.0,11.3298,0.022479761904761905
100415,Nykesha Sales,13.28,0.775599128540305,45,309,87.5,7.0051,0.022670226537216828
100416,Sheri Sam,-8.16,0.6973995271867612,38,354,86.36363636363636,5.2648,0.014872316384180791
100419,Yolanda Griffith,-0.69,0.7217125382262997,23,353,82.35294117647058,4.6634,0.013210764872521248
100433,Chasity Melvin,-3.52,0.6812373907195696,37,414,50.0,4.6555,0.011245169082125604
100484,Betty Lennox,10.96,0.8416763678696159,42,345,100.0,6.9483999999999995,0.020140289855072463
100493,Anna DeForge,-1.69,0.8288100208768268,29,245,71.42857142857143,2.8367,0.011578367346938775
100533,DeMya Walker,-6.41,0.6335195530726258,26,367,90.0,3.9707,0.010819346049046321
100627,Kelly Miller,9.91,0.814748201438849,21,387,100.0,4.5435,0.01174031007751938
100628,Tammy Sutton-Brown,-13.21,0.6997518610421837,30,435,62.5,3.3008,0.007588045977011495
100634,Penny Taylor,-6.46,0.8711656441717791,37,405,86.95652173913044,6.5423,0.016153827160493826
100639,Deanna Nolan,4.56,0.8254288597376388,86,341,95.23809523809524,13.3427,0.03912815249266862
100646,Tamika Catchings,5.37,0.8419550481626829,119,525,86.95652173913044,21.5719,0.04108933333333333
100656,Ruth Riley,-13.67,0.7755417956656346,29,439,90.0,5.2625,0.0119874715261959
100666,Katie Douglas,-5.55,0.8044096728307255,76,468,73.91304347826086,8.2724,0.017676068376068374
100682,Lauren Jackson,-7.62,0.8414701042238069,47,348,89.47368421052632,7.1025,0.02040948275862069
100685,Marie Ferdinand-Harris,-7.62,0.7958607714016933,34,331,81.25,4.3526,0.013149848942598187
100720,Sue Bird,-3.37,0.8525932666060054,98,640,50.0,10.6866,0.0166978125
100721,Swin Cash,-0.95,0.7572481572481572,41,535,76.19047619047619,6.2646,0.011709532710280373
100723,Asjha Jones,0.75,0.7444314185228605,52,411,85.71428571428571,5.4466,0.013252068126520682
100729,Michelle Snow,0.26,0.7065317387304508,40,422,83.33333333333334,7.1051,0.016836729857819907
100812,Erika de Souza,-10.16,0.6411042944785276,23,367,57.14285714285714,2.4003,0.00654032697547684
100843,Cheryl Ford,-6.8,0.6073394495412844,24,234,68.75,4.0869,0.017465384615384615
100874,Kara Lawson,0.38,0.8905608755129959,62,424,92.3076923076923,7.7620000000000005,0.018306603773584906
100888,Plenette Pierson,-5.81,0.7403237156931738,28,493,83.33333333333334,3.4697,0.0070379310344827585
100915,Lindsay Whalen,-0.42,0.8078985860555826,78,562,82.6086956521739,14.3849,0.025595907473309608
100919,Nicole Powell,12.8,0.8868940754039497,37,393,100.0,5.1452,0.013092111959287531
100937,Shameka Christon,4.9,0.818734793187348,26,338,75.0,4.1364,0.012237869822485207
100940,Diana Taurasi,-6.43,0.8719195849546044,120,597,85.71428571428571,15.757200000000001,0.026393969849246232
100949,Alana Beard,2.5,0.7657580919931857,52,462,69.23076923076923,6.6998,0.0145017316017316
100952,Jia Perkins,10.39,0.8333333333333334,64,440,75.0,11.1984,0.02545090909090909
101019,Janel McCarville,-1.85,0.7600671140939598,33,313,80.0,5.7438,0.018350798722044728
101020,Tan White,-5.82,0.808300395256917,26,346,100.0,4.4853,0.01296329479768786
101023,Sancho Lyttle,4.01,0.7085852478839177,26,423,58.333333333333336,3.765,0.008900709219858156
101024,Temeka Johnson,-15.63,0.8191126279863481,23,363,83.33333333333334,2.6186,0.007213774104683195
101030,Tanisha Wright,-3.09,0.8283433133732535,44,493,100.0,5.7485,0.01166024340770791
1627668,Breanna Stewart,-3.21,0.8365384615384616,35,235,95.0,6.1032,0.025971063829787235
1627675,Courtney Williams,-0.52,0.7278481012658228,32,261,71.42857142857143,4.2241,0.016184291187739463
1628932,A'ja Wilson,-10.13,0.8044649730561971,27,207,100.0,4.7021,0.022715458937198067
1629477,Sabrina Ionescu,-9.6,0.9120521172638436,20,101,100.0,2.9085,0.0287970297029703
1629481,Arike Ogunbowale,0.87,0.8381924198250729,30,149,71.42857142857143,4.4599,0.029932214765100672
200665,Cappie Pondexter,4.94,0.8476090383604834,122,454,89.28571428571429,17.8725,0.03936674008810572
200671,Seimone Augustus,8.37,0.848512173128945,93,449,90.9090909090909,12.1096,0.026970155902004456
200673,Monique Currie,-0.69,0.8192546583850931,33,434,75.0,5.309699999999999,0.012234331797235022
200674,Sophia Young-Malcolm,-1.8,0.7191919191919192,28,327,68.42105263157895,6.3609,0.01945229357798165
200676,Candice Dupree,7.89,0.8231748158070998,72,525,84.61538461538461,9.7618,0.01859390476190476
201046,Lindsey Harding,-8.34,0.7529976019184652,33,295,61.11111111111112,4.2893,0.014539999999999999
201056,Ivory Latta,-7.35,0.8451443569553806,39,346,100.0,4.1871,0.012101445086705203
201067,Camille Little,0.99,0.7189873417721518,34,468,77.77777777777779,5.7531,0.012292948717948718
201477,Tamera Young,4.16,0.6797468354430379,23,396,50.0,2.8592,0.00722020202020202
201480,Sylvia Fowles,14.32,0.7268656716417911,36,449,68.18181818181817,8.312,0.018512249443207125
201492,Matee Ajavon,-4.58,0.7827130852340937,24,334,69.23076923076923,3.9965,0.01196556886227545
201496,Candace Parker,-8.65,0.7685325264750378,68,476,76.47058823529412,9.925699999999999,0.020852310924369746
201502,Essence Carson,10.26,0.7848605577689243,24,414,20.0,3.0974,0.007481642512077295
201507,Leilani Mitchell,-10.06,0.8414376321353065,22,432,0.0,2.1639,0.005009027777777778
201516,Allie Quigley,4.08,0.8955223880597015,43,388,75.0,5.2358,0.013494329896907216
201518,Crystal Langhorne,10.0,0.70147954743255,21,426,100.0,3.7986999999999997,0.00891713615023474
201881,Angel McCoughtry,-3.86,0.8018475750577367,93,352,81.81818181818183,12.7031,0.03608835227272727
201886,DeWanna Bonner,-1.99,0.8621621621621621,65,525,76.66666666666667,10.752,0.02048
201896,Briann January,-11.73,0.8466257668711656,54,461,70.58823529411765,5.2454,0.011378308026030369
201904,Renee Montgomery,-1.11,0.8406139315230224,40,401,77.77777777777779,5.2491,0.013090024937655861
201911,Kristi Toliver,9.27,0.8778625954198473,56,423,75.0,8.4478,0.01997115839243499
201919,Shavonte Zellous,2.31,0.8017241379310345,26,410,55.55555555555556,4.2079,0.010263170731707318
202250,Tina Charles,2.87,0.7698846387370978,69,412,80.95238095238095,11.5302,0.02798592233009709
202259,Epiphanny Prince,0.76,0.863169897377423,46,349,77.77777777777779,6.7693,0.01939627507163324
202632,Maya Moore,5.95,0.8569206842923794,51,327,94.11764705882352,8.5536,0.02615779816513761
202633,Liz Cambage,-3.87,0.7623655913978494,23,178,33.33333333333333,2.4105,0.013542134831460674
202658,Danielle Robinson,-1.62,0.860969387755102,28,371,87.5,4.0539000000000005,0.010926954177897576
202662,Jasmine Thomas,3.14,0.7874818049490538,43,413,50.0,5.4966,0.013308958837772398
202664,Courtney Vandersloot,-2.82,0.8287037037037037,42,428,83.33333333333334,6.9879,0.016326869158878505
203014,Nneka Ogwumike,11.22,0.8324324324324325,44,384,100.0,8.0436,0.020946875
203017,Glory Johnson,-9.62,0.7282229965156795,21,224,85.71428571428571,3.5849,0.01600401785714286
203026,Tiffany Hayes,0.03,0.7972413793103448,34,327,78.57142857142857,5.6493,0.017276146788990827
203029,Riquna Williams,6.29,0.7417721518987341,20,189,100.0,2.7727,0.01467037037037037
203398,Brittney Griner,6.59,0.8046666666666666,33,323,66.66666666666666,4.6199,0.014303095975232199
203399,Elena Delle Donne,6.17,0.9397865853658536,44,271,87.5,7.1755,0.026477859778597786
203400,Skylar Diggins-Smith,-10.06,0.8470926058865758,53,267,60.0,6.023,0.022558052434456927
203406,Layshia Clarendon,-6.88,0.7920792079207921,20,277,100.0,2.5597,0.009240794223826714
203411,Sugar Rodgers,-14.6,0.8153846153846154,20,273,80.0,1.6375000000000002,0.0059981684981684985
203416,Emma Meesseman,3.94,0.8470588235294118,27,269,100.0,3.9293,0.014607063197026022
203824,Odyssey Sims,2.19,0.8274285714285714,37,288,85.71428571428571,4.711,0.01635763888888889
203825,Kayla McBride,-5.08,0.8969072164948454,33,302,100.0,5.3443,0.01769635761589404
203826,Alyssa Thomas,-4.24,0.6499227202472952,26,303,63.1578947368421,4.8018,0.015847524752475247
203828,Stefanie Dolson,18.98,0.8683602771362586,24,305,66.66666666666666,5.3832,0.01764983606557377
203829,Bria Hartley,-1.04,0.772609819121447,20,221,0.0,2.0662,0.009349321266968325
203833,Chelsea Gray,22.85,0.86608442503639,28,327,88.88888888888889,7.1219,0.021779510703363914
204319,Jewell Loyd,6.79,0.8835672997522709,43,305,50.0,7.9797,0.026162950819672133
204365,Erica Wheeler,4.18,0.8175355450236966,27,253,60.0,3.8005,0.015021739130434782
